year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,A. WAYNE JOHNSON,REPUBLICAN,FALSE,total,36176,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,TAMARA JOHNSON-SHEALEY,DEMOCRAT,FALSE,total,106767,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,MATT LIEBERMAN,DEMOCRAT,FALSE,total,136021,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,KELLY LOEFFLER,REPUBLICAN,FALSE,total,1273214,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,JOY FELICIA SLADE,DEMOCRAT,FALSE,total,44945,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,BRIAN SLOWINSKI,LIBERTARIAN,FALSE,total,35431,4914361,FALSE,20210114,LIBERTARIAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,VALENCIA STOVALL,INDEPENDENT,FALSE,total,13318,4914361,FALSE,20210114,OTHER
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,ED TARVER,DEMOCRAT,FALSE,total,26333,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,KANDISS TAYLOR,REPUBLICAN,FALSE,total,40349,4914361,FALSE,20210114,REPUBLICAN
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,RAPHAEL WARNOCK,DEMOCRAT,FALSE,total,1617035,4914361,FALSE,20210114,DEMOCRAT
2020,GEORGIA,GA,13,58,44,US SENATE,statewide,gen,TRUE,RICHARD DIEN WINFIELD,DEMOCRAT,FALSE,total,28687,4914361,FALSE,20210114,DEMOCRAT
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,NATALIE M FLEMING,INDEPENDENT,FALSE,total,25329,859827,FALSE,20210114,OTHER
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,PAULETTE JORDAN,DEMOCRAT,FALSE,total,285864,859827,FALSE,20210114,DEMOCRAT
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,JIM RISCH,REPUBLICAN,FALSE,total,538446,859827,FALSE,20210114,REPUBLICAN
2020,IDAHO,ID,16,82,63,US SENATE,statewide,gen,FALSE,RAY J. WRITZ,CONSTITUTION PARTY,FALSE,total,10188,859827,FALSE,20210114,OTHER
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,RICHARD J. DURBIN,DEMOCRAT,FALSE,total,3278930,5968901,FALSE,20210114,DEMOCRAT
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,MARK C. CURRAN JR.,REPUBLICAN,FALSE,total,2319870,5968901,FALSE,20210114,REPUBLICAN
2020,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,FALSE,WILLIE L. WILSON,WILLIE WILSON PARTY,FALSE,total,237699,5968901,FALSE,20210114,OTHER
