name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Dale Crafts,U.S. House Maine District 2,Republican Party,Federal,Congress,159,159
Dan Ahlers,U.S. Senate South Dakota,Democratic Party,Federal,State,56,56
Dan Bishop,U.S. House North Carolina District 9,Republican Party,Federal,Congress,32,32
Dan Feehan,U.S. House Minnesota District 1,Democratic Party,Federal,Congress,294,294
Dan Kildee,U.S. House Michigan District 5,Democratic Party,Federal,Congress,206,206
Dan Meuser,U.S. House Pennsylvania District 9,Republican Party,Federal,Congress,65,65
Dana Alan Ferguson,U.S. House Michigan District 1,Democratic Party,Federal,Congress,125,125
Dana Balter,U.S. House New York District 24,Democratic Party,Federal,Congress,340,340
Dana Barrett,U.S. House Georgia District 11,Democratic Party,Federal,Congress,120,120
Dana Cottrell,U.S. House Florida District 11,Democratic Party,Federal,Congress,15,15
Daniel Burke,U.S. Senate New Jersey,Independent,Federal,State,17,17
Daniel Crenshaw,U.S. House Texas District 2,Republican Party,Federal,Congress,72,72
Daniel Kilgore,U.S. House Ohio District 15,Democratic Party,Federal,Congress,29,29
Daniel McCarthy,U.S. Senate Arizona,Republican Party,Federal,State,100,100
Daniel Merritt,U.S. House Georgia District 1,Republican Party,Federal,Congress,20,20
Daniel Rodimer,U.S. House Nevada District 3,Republican Party,Federal,Congress,127,127
Darrell Issa,U.S. House California District 50,Republican Party,Federal,Congress,20,20
Darren Soto,U.S. House Florida District 9,Democratic Party,Federal,Congress,14,14
David Buchwald,U.S. House New York District 17,Democratic Party,Federal,Congress,82,82
David Hill,U.S. House Oklahoma District 5,Republican Party,Federal,Congress,54,54
David McKinley,U.S. House West Virginia District 1,Republican Party,Federal,Congress,87,87
David Price,U.S. House North Carolina District 4,Democratic Party,Federal,Congress,138,244
David Richter,U.S. House New Jersey District 2,Republican Party,Federal,Congress,50,50
David Richter,U.S. House New Jersey District 3,Republican Party,Federal,Congress,16,16
David Young,U.S. House Iowa District 3,Republican Party,Federal,Congress,195,195
Dean Phillips,U.S. House Minnesota District 3,Democratic Party,Federal,Congress,156,156
Debbie Dingell,U.S. House Michigan District 12,Democratic Party,Federal,Congress,77,77
Debbie Lesko,U.S. House Arizona District 8,Republican Party,Federal,Congress,459,459
Debbie Mucarsel-Powell,U.S. House Florida District 26,Democratic Party,Federal,Congress,2554,2554
Debbie Wasserman Schultz,U.S. House Florida District 23,Democratic Party,Federal,Congress,112,112
Deborah Ross,U.S. House North Carolina District 2,Democratic Party,Federal,Congress,375,375
Debra Lamm,U.S. House Montana At-large District,Republican Party,Federal,Congress,10,10
Delina DiSanto,U.S. House Arizona District 4,Democratic Party,Federal,Congress,23,23
Denver Riggleman,U.S. House Virginia District 5,Republican Party,Federal,Congress,47,47
Derrick Reed,U.S. House Texas District 22,Democratic Party,Federal,Congress,51,51
Derrick Van Orden,U.S. House Wisconsin District 3,Republican Party,Federal,Congress,72,72
Desiree Tims,U.S. House Ohio District 10,Democratic Party,Federal,Congress,2790,2790
Diana Bray,U.S. Senate Colorado,Democratic Party,Federal,State,15,15
Diana Harshbarger,U.S. House Tennessee District 1,Republican Party,Federal,Congress,54,54
Dick Durbin,U.S. Senate Illinois,Democratic Party,Federal,State,207,207
Dina Titus,U.S. House Nevada District 1,Democratic Party,Federal,Congress,60,60
Don Bacon,U.S. House Nebraska District 2,Republican Party,Federal,Congress,128,128
Donald Cole,U.S. House Georgia District 2,Republican Party,Federal,Congress,19,19
Donald Norcross,U.S. House New Jersey District 1,Democratic Party,Federal,Congress,51,51
Donna Deegan,U.S. House Florida District 4,Democratic Party,Federal,Congress,340,340
Donna Imam,U.S. House Texas District 31,Democratic Party,Federal,Congress,48,48
Doug Jones,U.S. Senate Alabama,Democratic Party,Federal,State,241,242
Doug Slocum,U.S. House Michigan District 10,Republican Party,Federal,Congress,33,33
Doyle Canning,U.S. House Oregon District 4,Democratic Party,Federal,Congress,76,76
Dusty Johnson,U.S. House South Dakota At-large District,Republican Party,Federal,Congress,10,10
Dutch Ruppersberger,U.S. House Maryland District 2,Democratic Party,Federal,Congress,50,50
