,w,corpus_count
659,certainly,1115
660,rampant,560
661,Based,373
662,sexual assault,188
663,file,12470
664,reported,2176
665,Yesterday,1906
666,repeatedly,696
667,Jacob Blake,74
668,demand,12145
669,dismantle,1484
670,Policing Act,236
671,needed,8008
672,law enforcement,1460
673,ADD,3491
674,YOUR NAME,3507
675,rebuild,1832
676,our fight,3278
677,police brutality,1012
678,the Justice,269
679,Seattle,2861
680,| Click,30286
681,getting,16405
682,track,11371
683,wanted,10736
684,follow,18101
685,comes,16489
686,past,9437
687,this week,8045
688,saved,37830
689,your payment information,26150
690,ActBlue Express,39076
691,Chip,32097
692,hard,27535
693,discrimination,1258
694,accomplish,4615
695,Your support,4870
696,helping,16874
697,our government,3656
698,refuses,1635
699,powered,17632
700,grassroots supporters,29548
701,required,1511
702,finally,5584
703,impeached,302
704,witnesses,266
705,no one,5517
706,the right thing,1812
707,politically,485
708,expedient,76
709,elect,97832
710,Congress P.O. Box,82
711,coming,17299
712,office,16175
713,announced,4878
714,moving,3781
715,forward,12835
716,fix,10388
717,set,19900
718,electing,17255
719,an army,542
720,stronger,3721
721,leaders,24699
722,his campaign,23520
723,a grassroots army,4162
724,Please chip,2051
725,the resources,11713
726,lying,18290
727,Last week,1969
728,lied,1654
729,brought,2270
730,protests,1079
731,Breonna Taylor,431
732,George Floyd,915
733,stood,3228
734,Black Americans,574
735,having,6866
736,protest,3170
737,deliver,7618
738,watching,2766
739,kill,2682
740,likely,3195
741,times,15466
742,die,4596
743,homelessness,1142
744,thousands,11941
745,advance,5704
746,add,59726
747,sponsor,3011
748,desperately,2594
749,treat,2370
750,this district,5443
751,accountability,3277
752,the coronavirus,4551
753,more information,2720
754,visit,11063
755,closely,1309
756,our nation,8518
757,our families,2648
758,safe,24944
759,Friends,13452
760,gone,3501
761,an investigation,164
762,include,4241
763,threatened,1041
764,prosecute,175
765,mail,156007
766,the Supreme Court,9703
767,eliminate,818
768,forget,2312
769,resign,641
770,payment information,35502
771,creating,3357
772,the table,2143
773,providing,3411
774,the state,7048
775,our efforts,13527
776,learn,11939
777,Emails,6206
778,the best way,16702
779,our supporters,3318
780,focus,9325
781,flipping,8216
782,longer,32743
783,PAC,51740
784,talk,8572
785,year,39817
786,discuss,3369
787,happening,3629
788,violence,8087
789,TODAY,8178
790,Saturday,3756
791,Unlike,1710
792,my opponent,4629
793,relying,15223
794,replace,4388
795,our team,11445
796,invest,9304
797,this pandemic,3427
798,person,28931
799,the race,4681
800,kick,5054
801,Nevada,1899
802,our farmers,302
803,a part,10975
804,the impeachment trial,178
805,acquit,599
806,our democracy,6954
807,uphold,901
808,our Constitution,1521
809,country,56934
810,party,6455
811,prove,21593
812,wrong,10391
813,happens,2207
814,corruption,4042
815,miss,20673
816,Instagram,10691
817,Support,6375
818,San Francisco,731
819,his running mate,776
820,excited,4819
821,Having,443
822,a champion,2428
823,proud,22201
824,Joe,28206
825,representing,2198
826,corporations,6088
827,created,2682
828,won,29977
829,their crimes,30
830,Kamala,10429
831,build,34203
832,the ballot,7734
833,date,93369
834,a difference,6405
835,information,55112
836,Follow,9537
837,authorized,31624
838,the military,578
839,neighbors,4189
840,government,12208
841,flipped,2260
842,the idea,596
843,given,3149
844,Afghanistan,901
845,Read,1945
846,war,42617
847,our streets,368
848,Police,1087
849,recognize,1503
850,public safety,533
851,subject,1234
852,security,3609
853,our police,636
854,our military,685
855,cops,204
856,necessary,3796
857,violent crime,78
858,expanding,4177
859,increase,10972
860,especially,7064
861,data,10084
862,feel,6136
863,the right,7545
864,a friend,2944
865,joined,3309
866,holds,1926
867,paying,4405
868,rise,10588
869,straight,3698
870,suffering,1051
871,integrity,1849
872,speaking,2139
873,return,3685
874,Express Donate,5683
875,Express,39900
876,respond,10591
877,freedom,3582
878,equality,2798
879,DONATE,60603
880,Reserved,1360
881,tax,35244
882,participate,4026
883,email,153089
884,spend,29297
885,cover,7357
886,lies,48398
887,promoting,3406
888,protecting,7385
889,working families,7213
890,waste,4313
891,our shared values,487
892,Right,10256
893,faces,1148
894,chaos,981
895,a war,688
896,supposed,859
897,turning,8294
898,nationwide,6152
899,release,4173
900,funded,19737
901,rely,40130
902,grassroots donors,10225
903,URL REDACTED,74377
904,happy,4275
905,thanks,16736
906,my team,5160
907,officially,4536
908,proven,11410
909,short,22667
910,doors,5646
911,this fight,8873
912,the work,4164
913,the way,9866
914,my country,310
915,my life,1489
916,a chance,4483
917,votes,7950
918,AOC,1854
919,the line,7078
920,the ones,703
921,bad,5103
922,came,6954
923,fund,78246
924,the President,5160
925,Iraq,1022
926,100%,8911
927,Impeachment,583
928,innocent,613
929,winning,14651
930,Republican,58608
931,People,5772
932,no place,870
933,God,2371
934,lose,43093
935,retake,1266
936,bless,1345
937,Use,13456
938,job titles,4673
939,photographs,9640
940,uniform,10577
941,imply,17772
942,endorsement,15467
943,the Department of Defense,8798
944,taught,832
945,clearly,955
946,citizens,2577
947,Look,4730
948,an interview,276
949,Wednesday,3588
950,funding,10742
